INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 191	Loss: 1.51543128490448	Top1 accuracy: 69.921875
DEBUG:root:Epoch: 192	Loss: 1.8455400466918945	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 193	Loss: 1.5198522806167603	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 194	Loss: 1.6497585773468018	Top1 accuracy: 73.046875
DEBUG:root:Epoch: 195	Loss: 1.8851521015167236	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 196	Loss: 1.628406047821045	Top1 accuracy: 56.25
DEBUG:root:Epoch: 197	Loss: 1.7135062217712402	Top1 accuracy: 69.140625
DEBUG:root:Epoch: 198	Loss: 1.5694392919540405	Top1 accuracy: 68.359375
DEBUG:root:Epoch: 199	Loss: 1.6986546516418457	Top1 accuracy: 62.890625
INFO:root:Training has finished.
INFO:root:Model checkpoint and metadata has been saved at runs\Nov09_19-48-02_Eri.
